0C004B00,0C00D880,0C00DAF8,0C011320,time
01,02,03,04,19-16-39
01,02,03,04,19-16-39
01,02,03,04,19-16-40
01,02,03,04,19-16-40
01,02,03,04,19-16-40
01,02,03,04,19-16-40
01,02,03,04,19-16-40
01,02,03,04,19-16-40
01,02,03,04,19-16-40
01,02,03,04,19-16-40
01,02,03,04,19-16-40
01,02,03,04,19-16-41
01,02,03,04,19-16-41
01,02,03,04,19-16-41
01,02,03,04,19-16-41
01,02,03,04,19-16-41
01,02,03,04,19-16-41
01,02,03,04,19-16-41
01,02,03,04,19-16-41
01,02,03,04,19-16-41
01,02,03,04,19-16-41
01,02,03,04,19-16-42
01,02,03,04,19-16-42
01,02,03,04,19-16-42
01,02,03,04,19-16-42
01,02,03,04,19-16-42
01,02,03,04,19-16-42
01,02,03,04,19-16-42
01,02,03,04,19-16-42
01,02,03,04,19-16-42
01,02,03,04,19-16-42
01,02,03,04,19-16-43
01,02,03,04,19-16-43
01,02,03,04,19-16-43
01,02,03,04,19-16-43
01,02,03,04,19-16-43
01,02,03,04,19-16-43
01,02,03,04,19-16-43
01,02,03,04,19-16-43
01,02,03,04,19-16-43
01,02,03,04,19-16-43
01,02,03,04,19-16-44
01,02,03,04,19-16-44
01,02,03,04,19-16-44
01,02,03,04,19-16-44
01,02,03,04,19-16-44
01,02,03,04,19-16-44
01,02,03,04,19-16-44
01,02,03,04,19-16-44
01,02,03,04,19-16-44
01,02,03,04,19-16-45
01,02,03,04,19-16-45
01,02,03,04,19-16-45
01,02,03,04,19-16-45
01,02,03,04,19-16-45
01,02,03,04,19-16-45
01,02,03,04,19-16-45
01,02,03,04,19-16-45
01,02,03,04,19-16-45
01,02,03,04,19-16-45
01,02,03,04,19-16-46
01,02,03,04,19-16-46
01,02,03,04,19-16-46
01,02,03,04,19-16-46
01,02,03,04,19-16-46
01,02,03,04,19-16-46
01,02,03,04,19-16-46
01,02,03,04,19-16-46
01,02,03,04,19-16-46
01,02,03,04,19-16-46
01,02,03,04,19-16-47
01,02,03,04,19-16-47
01,02,03,04,19-16-47
01,02,03,04,19-16-47
01,02,03,04,19-16-47
01,02,03,04,19-16-47
01,02,03,04,19-16-47
01,02,03,04,19-16-47
01,02,03,04,19-16-47
01,02,03,04,19-16-48
01,02,03,04,19-16-48
01,02,03,04,19-16-48
01,02,03,04,19-16-48
01,02,03,04,19-16-48
01,02,03,04,19-16-48
01,02,03,04,19-16-48
01,02,03,04,19-16-48
01,02,03,04,19-16-48
01,02,03,04,19-16-48
01,02,03,04,19-16-49
01,02,03,04,19-16-49
01,02,03,04,19-16-49
01,02,03,04,19-16-49
01,02,03,04,19-16-49
01,02,03,04,19-16-49
01,02,03,04,19-16-49
01,02,03,04,19-16-49
01,02,03,04,19-16-49
01,02,03,04,19-16-49
01,02,03,04,19-16-50
01,02,03,04,19-16-50
01,02,03,04,19-16-50
01,02,03,04,19-16-50
01,02,03,04,19-16-50
01,02,03,04,19-16-50
01,02,03,04,19-16-50
01,02,03,04,19-16-50
01,02,03,04,19-16-50
01,02,03,04,19-16-50
01,02,03,04,19-16-51
01,02,03,04,19-16-51
01,02,03,04,19-16-51
01,02,03,04,19-16-51
01,02,03,04,19-16-51
01,02,03,04,19-16-51
01,02,03,04,19-16-51
01,02,03,04,19-16-51
01,02,03,04,19-16-51
01,02,03,04,19-16-52
01,02,03,04,19-16-52
01,02,03,04,19-16-52
01,02,03,04,19-16-52
01,02,03,04,19-16-52
01,02,03,04,19-16-52
01,02,03,04,19-16-52
01,02,03,04,19-16-52
01,02,03,04,19-16-52
01,02,03,04,19-16-52
01,02,03,04,19-16-53
01,02,03,04,19-16-53
01,02,03,04,19-16-53
01,02,03,04,19-16-53
01,02,03,04,19-16-53
01,02,03,04,19-16-53
01,02,03,04,19-16-53
01,02,03,04,19-16-53
01,02,03,04,19-16-53
01,02,03,04,19-16-53
01,02,03,04,19-16-54
01,02,03,04,19-16-54
01,02,03,04,19-16-54
01,02,03,04,19-16-54
01,02,03,04,19-16-54
01,02,03,04,19-16-54
01,02,03,04,19-16-54
01,02,03,04,19-16-54
01,02,03,04,19-16-54
01,02,03,04,19-16-54
01,02,03,04,19-16-55
01,02,03,04,19-16-55
01,02,03,04,19-16-55
01,02,03,04,19-16-55
01,02,03,04,19-16-55
01,02,03,04,19-16-55
01,02,03,04,19-16-55
01,02,03,04,19-16-55
01,02,03,04,19-16-55
01,02,03,04,19-16-56
01,02,03,04,19-16-56
01,02,03,04,19-16-56
01,02,03,04,19-16-56
01,02,03,04,19-16-56
01,02,03,04,19-16-56
01,02,03,04,19-16-56
01,02,03,04,19-16-56
01,02,03,04,19-16-56
01,02,03,04,19-16-56
01,02,03,04,19-16-57
01,02,03,04,19-16-57
01,02,03,04,19-16-57
01,02,03,04,19-16-57
01,02,03,04,19-16-57
01,02,03,04,19-16-57
