0C004B00,0C00D880,0C00DAF8,0C011320,time
01,02,03,04,16.08.06
01,02,03,04,16.08.06
01,02,03,04,16.08.06
01,02,03,04,16.08.06
01,02,03,04,16.08.07
01,02,03,04,16.08.07
01,02,03,04,16.08.07
01,02,03,04,16.08.07
01,02,03,04,16.08.07
01,02,03,04,16.08.07
01,02,03,04,16.08.07
01,02,03,04,16.08.07
01,02,03,04,16.08.07
01,02,03,04,16.08.07
01,02,03,04,16.08.08
01,02,03,04,16.08.08
01,02,03,04,16.08.08
01,02,03,04,16.08.08
01,02,03,04,16.08.08
01,02,03,04,16.08.08
01,02,03,04,16.08.08
01,02,03,04,16.08.08
01,02,03,04,16.08.08
